audit_priority,trigger_type,database,amb,outcome,outcome_label,family,Model,project,Pathway,n_scenarios,family_arm_total,project_share_pct,recommended_audit
2,Dominant project cluster,Full,2C,total_energy_jobyears_per_1k,Employment,AIM,AIM/CGE V2.2,ENGAGE,High-RE,11,11,100,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,total_energy_jobyears_per_1k,Employment,IMAGE,IMAGE 3.0,ENGAGE,High-CDR,20,45,44.44444444444444,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,total_energy_jobyears_per_1k,Employment,MESSAGEix,MESSAGEix-GLOBIOM 1.1,ENGAGE,High-CDR,62,74,83.78378378378379,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,total_energy_jobyears_per_1k,Employment,MESSAGEix,MESSAGEix-GLOBIOM 1.1,ENGAGE,High-RE,20,24,83.33333333333333,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,total_energy_jobyears_per_1k,Employment,POLES,POLES-JRC ENGAGE,ENGAGE,High-CDR,56,56,100,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,total_energy_jobyears_per_1k,Employment,REMIND,REMIND-MAgPIE 2.1-4.2,ENGAGE,High-RE,59,161,36.64596273291925,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,total_energy_jobyears_per_1k,Employment,TIAM,TIAM-ECN 1.1,ENGAGE,High-CDR,12,12,100,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,total_energy_jobyears_per_1k,Employment,WITCH,WITCH 5.0,ENGAGE,High-RE,11,16,68.75,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,SCI-vetted,2C,gap_GJ_pc,DLE gap,IMAGE,IMAGE 3.0,ENGAGE,High-CDR,15,22,68.18181818181819,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,SCI-vetted,2C,gap_GJ_pc,DLE gap,POLES,POLES-JRC ENGAGE,ENGAGE,High-CDR,41,41,100,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,SCI-vetted,2C,gap_GJ_pc,DLE gap,WITCH,WITCH 5.0,ENGAGE,High-RE,26,28,92.85714285714286,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,SCI-vetted,2C,headcount_pct,Deprived headcount,IMAGE,IMAGE 3.0,ENGAGE,High-CDR,15,22,68.18181818181819,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,SCI-vetted,2C,headcount_pct,Deprived headcount,POLES,POLES-JRC ENGAGE,ENGAGE,High-CDR,41,41,100,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,SCI-vetted,2C,headcount_pct,Deprived headcount,WITCH,WITCH 5.0,ENGAGE,High-RE,26,28,92.85714285714286,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,SCI-vetted,2C,mortality_million_deaths,PM2.5 mortality,IMAGE,IMAGE 3.0,ENGAGE,High-CDR,15,22,68.18181818181819,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,SCI-vetted,2C,mortality_million_deaths,PM2.5 mortality,POLES,POLES-JRC ENGAGE,ENGAGE,High-CDR,41,41,100,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,SCI-vetted,2C,mortality_million_deaths,PM2.5 mortality,WITCH,WITCH 5.0,ENGAGE,High-RE,26,28,92.85714285714286,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,SCI-vetted,2C,total_energy_jobyears_per_1k,Employment,IMAGE,IMAGE 3.0,ENGAGE,High-CDR,15,22,68.18181818181819,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,SCI-vetted,2C,total_energy_jobyears_per_1k,Employment,POLES,POLES-JRC ENGAGE,ENGAGE,High-CDR,41,41,100,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,SCI-vetted,2C,total_energy_jobyears_per_1k,Employment,WITCH,WITCH 5.0,ENGAGE,High-RE,26,28,92.85714285714286,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
