audit_priority,trigger_type,database,amb,outcome,outcome_label,family,Model,project,n_cdr,n_re,relative_effect_pct,favours,recommended_audit
2,Sparse matched model-project-ambition contrast,Full,2C,headcount_pct,Deprived share,IMAGE,IMAGE 3.2,SSP2021,8,2,18.883850740241186,High-RE,Read project protocol and inspect the small number of arm-defining scenarios before interpreting direction
2,Sparse matched model-project-ambition contrast,Full,2C,headcount_pct,Deprived share,MESSAGEix,MESSAGEix-GLOBIOM 1.1,NGFS Phase 2,1,1,-9.715563240725702,High-CDR,Read project protocol and inspect the small number of arm-defining scenarios before interpreting direction
2,Sparse matched model-project-ambition contrast,Full,2C,headcount_pct,Deprived share,MESSAGEix,MESSAGEix-GLOBIOM GEI 1.0,GEI,6,1,-8.338312930946747,High-CDR,Read project protocol and inspect the small number of arm-defining scenarios before interpreting direction
2,Sparse matched model-project-ambition contrast,Full,2C,headcount_pct,Deprived share,WITCH,WITCH 5.0,COMMIT,2,1,26.410885469268216,High-RE,Read project protocol and inspect the small number of arm-defining scenarios before interpreting direction
2,Sparse matched model-project-ambition contrast,Full,2C,mortality_million_deaths,PM2.5 mortality,IMAGE,IMAGE 3.2,SSP2021,8,2,3.23815625516348,High-RE,Read project protocol and inspect the small number of arm-defining scenarios before interpreting direction
2,Sparse matched model-project-ambition contrast,Full,2C,mortality_million_deaths,PM2.5 mortality,MESSAGEix,MESSAGEix-GLOBIOM 1.1,NGFS Phase 2,1,1,-1.0464182568837994,High-CDR,Read project protocol and inspect the small number of arm-defining scenarios before interpreting direction
2,Sparse matched model-project-ambition contrast,Full,2C,mortality_million_deaths,PM2.5 mortality,MESSAGEix,MESSAGEix-GLOBIOM GEI 1.0,GEI,6,1,8.009032290548628,High-RE,Read project protocol and inspect the small number of arm-defining scenarios before interpreting direction
2,Sparse matched model-project-ambition contrast,Full,2C,mortality_million_deaths,PM2.5 mortality,WITCH,WITCH 5.0,COMMIT,2,1,-0.27765214330170535,High-CDR,Read project protocol and inspect the small number of arm-defining scenarios before interpreting direction
2,Sparse matched model-project-ambition contrast,Full,2C,total_energy_jobyears_per_1k,Employment,IMAGE,IMAGE 3.2,SSP2021,8,2,75.74353315671117,High-RE,Read project protocol and inspect the small number of arm-defining scenarios before interpreting direction
2,Sparse matched model-project-ambition contrast,Full,2C,total_energy_jobyears_per_1k,Employment,MESSAGEix,MESSAGEix-GLOBIOM 1.1,NGFS Phase 2,1,1,8.446766304016146,High-RE,Read project protocol and inspect the small number of arm-defining scenarios before interpreting direction
2,Sparse matched model-project-ambition contrast,Full,2C,total_energy_jobyears_per_1k,Employment,MESSAGEix,MESSAGEix-GLOBIOM GEI 1.0,GEI,6,1,25.046269980550104,High-RE,Read project protocol and inspect the small number of arm-defining scenarios before interpreting direction
2,Sparse matched model-project-ambition contrast,Full,2C,total_energy_jobyears_per_1k,Employment,WITCH,WITCH 5.0,COMMIT,2,1,89.99593037610818,High-RE,Read project protocol and inspect the small number of arm-defining scenarios before interpreting direction
2,Sparse matched model-project-ambition contrast,SCI-vetted,1.5C,gap_GJ_pc,DLE gap,IMAGE,IMAGE 3.2,SSP2021,4,1,5.753918631031564,High-RE,Read project protocol and inspect the small number of arm-defining scenarios before interpreting direction
2,Sparse matched model-project-ambition contrast,SCI-vetted,1.5C,headcount_pct,Deprived share,IMAGE,IMAGE 3.2,SSP2021,4,1,0.8116750533564999,High-RE,Read project protocol and inspect the small number of arm-defining scenarios before interpreting direction
2,Sparse matched model-project-ambition contrast,SCI-vetted,1.5C,mortality_million_deaths,PM2.5 mortality,IMAGE,IMAGE 3.2,SSP2021,4,1,10.532177248829816,High-RE,Read project protocol and inspect the small number of arm-defining scenarios before interpreting direction
2,Sparse matched model-project-ambition contrast,SCI-vetted,1.5C,total_energy_jobyears_per_1k,Employment,IMAGE,IMAGE 3.2,SSP2021,4,1,31.908716720715606,High-RE,Read project protocol and inspect the small number of arm-defining scenarios before interpreting direction
